Date,Open,High,Low,Close,Adj Close,Volume
2018-03-14,225.669998,228.389999,224.289993,226.660004,218.125641,394000
2018-03-15,227.369995,228.270004,226.089996,226.820007,218.279617,808500
2018-03-16,227.490005,232.020004,227.449997,229.789993,221.137787,904400
2018-03-19,228.800003,230.279999,226.899994,227.669998,219.097580,636200
2018-03-20,228.000000,232.880005,227.509995,231.589996,222.869995,574200
2018-03-21,231.449997,232.360001,227.740005,228.259995,219.665390,512800
2018-03-22,227.429993,231.559998,226.339996,226.399994,217.875412,915900
2018-03-23,227.210007,231.130005,225.940002,226.649994,218.115997,799100
2018-03-26,228.600006,231.839996,226.229996,231.279999,222.571686,632500
2018-03-27,232.000000,233.779999,229.470001,231.580002,222.860413,795100
2018-03-28,231.990005,234.419998,231.279999,233.869995,225.064209,738500
2018-03-29,234.559998,235.869995,232.360001,233.559998,224.765854,963800
2018-04-02,233.289993,236.929993,228.589996,230.419998,221.744049,733600
2018-04-03,231.910004,234.449997,230.130005,233.470001,224.679245,539000
2018-04-04,225.699997,232.020004,225.250000,231.449997,222.735275,1026200
2018-04-05,233.270004,236.240005,232.320007,235.789993,226.911865,610900
2018-04-06,233.690002,235.729996,230.229996,231.460007,222.744919,658200
2018-04-09,232.679993,235.199997,231.899994,232.429993,223.678406,380200
2018-04-10,234.020004,234.669998,230.860001,231.699997,222.975861,438200
2018-04-11,230.789993,232.800003,229.690002,231.000000,222.302185,326700
2018-04-12,232.089996,234.619995,231.330002,231.479996,222.764160,398700
2018-04-13,232.380005,233.279999,229.669998,230.320007,221.647842,528600
2018-04-16,231.059998,234.830002,230.529999,232.350006,223.601425,353400
2018-04-17,234.630005,238.919998,234.300003,237.160004,228.230316,414100
2018-04-18,237.369995,239.210007,236.539993,238.190002,229.221481,399600
2018-04-19,237.750000,241.410004,236.889999,240.690002,231.627380,401500
2018-04-20,239.550003,241.089996,238.210007,238.929993,229.933624,487700
2018-04-23,239.619995,243.809998,238.440002,239.479996,230.462936,657100
2018-04-24,240.369995,240.440002,229.179993,231.820007,223.091385,891600
2018-04-25,232.300003,235.210007,230.690002,233.529999,224.736969,845200
2018-04-26,249.550003,255.000000,246.000000,250.610001,241.173874,1709100
2018-04-27,251.979996,252.800003,247.149994,248.419998,239.066330,987700
2018-04-30,250.000000,250.000000,241.710007,241.729996,232.628204,841400
2018-05-01,242.149994,248.830002,241.059998,247.679993,238.354187,645700
2018-05-02,246.740005,246.979996,243.389999,244.279999,235.082214,521500
2018-05-03,243.089996,246.369995,241.460007,245.830002,236.573837,552500
2018-05-04,245.419998,249.199997,244.470001,248.240005,238.893082,307500
2018-05-07,249.529999,251.000000,248.669998,250.500000,241.068024,565900
2018-05-08,249.809998,250.630005,248.000000,250.410004,240.981384,627600
2018-05-09,249.500000,250.360001,245.259995,249.910004,240.500244,543100
2018-05-10,250.500000,252.139999,249.460007,249.720001,240.317368,572900
2018-05-11,249.880005,251.119995,247.889999,249.910004,240.500244,325700
2018-05-14,249.619995,249.710007,245.619995,246.139999,236.872192,414600
2018-05-15,247.059998,247.660004,242.809998,247.100006,237.796036,423900
2018-05-16,246.490005,249.809998,246.490005,247.339996,238.027008,389900
2018-05-17,246.080002,248.690002,246.000000,246.550003,237.266724,335900
2018-05-18,247.289993,247.990005,243.250000,244.860001,235.640381,697900
2018-05-21,245.399994,249.279999,244.820007,248.369995,239.018188,536300
2018-05-22,249.240005,249.520004,246.710007,248.210007,238.864212,318400
2018-05-23,248.000000,250.259995,247.729996,249.490005,240.095993,520500
2018-05-24,249.940002,253.889999,249.720001,252.240005,242.742554,521000
2018-05-25,251.800003,254.220001,250.070007,250.339996,240.914032,283600
2018-05-29,249.460007,249.460007,243.179993,245.800003,236.544998,673900
2018-05-30,247.500000,253.669998,246.929993,251.699997,242.222778,586800
2018-05-31,251.119995,252.559998,249.130005,251.479996,242.011108,579600
2018-06-01,253.419998,257.429993,252.610001,252.850006,243.329498,557400
2018-06-04,252.809998,256.000000,252.600006,255.389999,245.773880,488200
2018-06-05,255.100006,263.250000,255.009995,262.630005,252.741257,805200
2018-06-06,263.970001,269.820007,263.600006,269.630005,259.477722,817900
2018-06-07,270.220001,273.570007,267.709991,272.040009,261.796997,889400
2018-06-08,264.339996,271.660004,263.059998,270.040009,259.872253,670900
2018-06-11,269.500000,270.720001,268.029999,269.769989,259.612396,453300
2018-06-12,269.570007,273.619995,268.679993,273.200012,262.913330,551100
2018-06-13,273.299988,276.119995,272.869995,273.579987,263.278992,478400
2018-06-14,274.410004,274.410004,270.640015,273.649994,263.876862,538700
2018-06-15,273.809998,277.359985,270.850006,277.339996,267.435059,559300
2018-06-18,277.179993,283.209991,275.380005,281.730011,271.668274,509100
2018-06-19,281.730011,288.040009,280.290009,287.390015,277.126129,674200
2018-06-20,290.019989,290.019989,285.690002,287.899994,277.617889,587200
2018-06-21,289.209991,292.670013,286.010010,290.760010,280.375793,775600
2018-06-22,293.679993,293.809998,289.339996,292.390015,281.947571,519700
2018-06-25,292.230011,293.489990,276.549988,279.510010,269.527588,1182100
2018-06-26,281.970001,286.170013,278.559998,283.109985,272.998962,1211000
2018-06-27,283.649994,285.160004,279.649994,281.470001,271.417542,516600
2018-06-28,279.899994,283.369995,279.200012,282.089996,272.015381,324900
2018-06-29,284.040009,284.369995,280.179993,282.170013,272.092560,318300
2018-07-02,278.640015,281.380005,276.549988,281.000000,270.964355,496100
2018-07-03,282.730011,283.239990,278.730011,280.130005,270.125427,202500
2018-07-05,280.700012,281.859985,274.630005,277.739990,267.820770,534500
2018-07-06,278.950012,280.890015,278.369995,279.149994,269.180359,482000
2018-07-09,282.000000,282.200012,277.660004,278.269989,268.331848,529200
2018-07-10,278.480011,280.600006,271.790009,272.390015,262.661835,648800
2018-07-11,271.399994,280.730011,271.399994,279.660004,269.672241,784000
2018-07-12,280.649994,280.649994,277.859985,279.029999,269.064667,345400
2018-07-13,279.209991,283.339996,278.920013,281.399994,271.350006,456200
2018-07-16,281.970001,283.690002,278.119995,279.190002,269.218994,354000
2018-07-17,278.519989,282.899994,277.630005,282.040009,271.967255,844500
2018-07-18,282.040009,284.880005,280.170013,283.679993,273.548645,1079800
2018-07-19,275.000000,284.769989,272.899994,276.750000,266.866089,1970200
2018-07-20,275.000000,282.480011,275.000000,277.170013,267.271118,586600
2018-07-23,276.769989,276.799988,271.200012,271.750000,262.044678,690400
2018-07-24,271.559998,271.559998,262.029999,263.070007,253.674759,913300
2018-07-25,263.339996,266.140015,261.059998,262.200012,252.835770,632100
2018-07-26,261.910004,263.059998,259.649994,260.000000,250.714355,504900
2018-07-27,262.869995,263.109985,259.790009,260.700012,251.389404,694200
2018-07-30,260.190002,261.570007,255.970001,256.410004,247.252579,702300
2018-07-31,255.000000,263.079987,253.639999,262.660004,253.279327,682800
2018-08-01,263.500000,270.739990,262.829987,270.339996,260.685028,986600
2018-08-02,269.600006,277.679993,269.600006,276.750000,266.866089,982200
2018-08-03,277.500000,279.869995,273.910004,279.500000,269.517944,613800
2018-08-06,279.470001,282.459991,277.549988,280.140015,270.135101,483400
2018-08-07,278.269989,279.510010,275.540009,277.450012,267.541199,443600
2018-08-08,277.809998,287.519989,277.000000,286.920013,276.672913,556700
2018-08-09,286.890015,295.239990,285.970001,291.450012,281.041229,567600
2018-08-10,289.769989,293.690002,288.500000,291.309998,280.906128,455200
2018-08-13,293.109985,293.109985,286.899994,288.600006,278.292877,334500
2018-08-14,290.309998,290.309998,284.880005,287.510010,277.241821,962000
2018-08-15,285.500000,287.790009,281.160004,284.190002,274.040405,551400
2018-08-16,285.959991,289.869995,284.899994,287.720001,277.444366,631700
2018-08-17,287.769989,289.059998,284.160004,285.040009,274.860077,329800
2018-08-20,285.049988,286.570007,281.839996,284.750000,274.580444,395700
2018-08-21,285.429993,289.339996,284.790009,287.369995,277.106842,275200
2018-08-22,286.910004,292.000000,286.359985,291.540009,281.127930,432500
2018-08-23,292.239990,294.510010,288.920013,289.399994,279.064331,290400
